날짜,종가
2023.6.14,256.79
2023.6.13,258.71
2023.6.12,249.83
2023.6.9,244.4
2023.6.8,234.86
2023.6.7,224.57
2023.6.6,221.31
2023.6.5,217.61
2023.6.2,213.97
2023.6.1,207.52
2023.5.31,203.93
2023.5.30,201.16
2023.5.26,193.17
2023.5.25,184.47
2023.5.24,182.9
2023.5.23,185.77
2023.5.22,188.87
2023.5.19,180.14
2023.5.18,176.89
2023.5.17,173.86
2023.5.16,166.52
2023.5.15,166.35
2023.5.12,167.98
2023.5.11,172.08
2023.5.10,168.54
2023.5.9,169.15
2023.5.8,171.79
2023.5.5,170.06
2023.5.4,161.2
2023.5.3,160.61
2023.5.2,160.31
2023.5.1,161.83
2023.4.28,164.31
2023.4.27,160.19
2023.4.26,153.75
2023.4.25,160.67
2023.4.24,162.55
2023.4.21,165.08
2023.4.20,162.99
2023.4.19,180.59
2023.4.18,184.31
2023.4.17,187.04
2023.4.14,185
2023.4.13,185.9
2023.4.12,180.54
2023.4.11,186.79
2023.4.10,184.51
2023.4.6,185.06
2023.4.5,185.52
2023.4.4,192.58
2023.4.3,194.77
2023.3.31,207.46
2023.3.30,195.28
2023.3.29,193.88
2023.3.28,189.19
2023.3.27,191.81
2023.3.24,190.41
2023.3.23,192.22
2023.3.22,191.15
2023.3.21,197.58
2023.3.20,183.25
2023.3.17,180.13
2023.3.16,184.13
2023.3.15,180.45
2023.3.14,183.26
2023.3.13,174.48
2023.3.10,173.44
2023.3.9,172.92
2023.3.8,182
2023.3.7,187.71
2023.3.6,193.81
2023.3.3,197.79
2023.3.2,190.9
2023.3.1,202.77
2023.2.28,205.71
2023.2.27,207.63
2023.2.24,196.88
2023.2.23,202.07
2023.2.22,200.86
2023.2.21,197.37
2023.2.17,208.31
2023.2.16,202.04
2023.2.15,214.24
2023.2.14,209.25
2023.2.13,194.64
2023.2.10,196.89
2023.2.9,207.32
2023.2.8,201.29
2023.2.7,196.81
2023.2.6,194.76
2023.2.3,189.98
2023.2.2,188.27
2023.2.1,181.41
2023.1.31,173.22
2023.1.30,166.66
2023.1.27,177.9
2023.1.26,160.27
2023.1.25,144.43
2023.1.24,143.89
2023.1.23,143.75
2023.1.20,133.42
2023.1.19,127.17
2023.1.18,128.78
2023.1.17,131.49
2023.1.13,122.4
2023.1.12,123.56
2023.1.11,123.22
2023.1.10,118.85
2023.1.9,119.77
2023.1.6,113.06
2023.1.5,110.34
2023.1.4,113.64
2023.1.3,108.1
2022.12.30,123.18
2022.12.29,121.82
2022.12.28,112.71
2022.12.27,109.1
2022.12.23,123.15
2022.12.22,125.35
2022.12.21,137.57
2022.12.20,137.8
2022.12.19,149.87
2022.12.16,150.23
2022.12.15,157.67
2022.12.14,156.8
2022.12.13,160.95
2022.12.12,167.82
2022.12.9,179.05
2022.12.8,173.44
2022.12.7,174.04
2022.12.6,179.82
2022.12.5,182.45
2022.12.2,194.86
2022.12.1,194.7
2022.11.30,194.7
2022.11.29,180.83
2022.11.28,182.92
2022.11.25,182.86
2022.11.23,183.2
2022.11.22,169.91
2022.11.21,167.87
2022.11.18,180.19
2022.11.17,183.17
2022.11.16,186.92
2022.11.15,194.42
2022.11.14,190.95
2022.11.11,195.97
2022.11.10,190.72
2022.11.9,177.59
2022.11.8,191.3
2022.11.7,197.08
2022.11.4,207.47
2022.11.3,215.31
2022.11.2,214.98
2022.11.1,227.82
2022.10.31,227.54
2022.10.28,228.52
2022.10.27,225.09
2022.10.26,224.64
2022.10.25,222.41
2022.10.24,211.25
2022.10.21,214.44
2022.10.20,207.28
2022.10.19,222.04
2022.10.18,220.19
2022.10.17,219.35
2022.10.14,204.99
2022.10.13,221.72
2022.10.12,217.24
2022.10.11,216.5
2022.10.10,222.96
2022.10.7,223.07
2022.10.6,238.13
2022.10.5,240.81
2022.10.4,249.44
2022.10.3,242.4
2022.9.30,265.25
2022.9.29,268.21
2022.9.28,287.81
2022.9.27,282.94
2022.9.26,276.01
2022.9.23,275.33
2022.9.22,288.59
2022.9.21,300.8
2022.9.20,308.73
2022.9.19,309.07
2022.9.16,303.35
2022.9.15,303.75
2022.9.14,302.61
2022.9.13,292.13
2022.9.12,304.42
2022.9.9,299.68
2022.9.8,289.26
2022.9.7,283.7
2022.9.6,274.42
2022.9.2,270.21
2022.9.1,277.16
2022.8.31,275.61
2022.8.30,277.7
2022.8.29,284.82
2022.8.26,288.09
2022.8.25,296.07
2022.8.24,297.1
2022.8.23,296.45
2022.8.22,289.91
2022.8.19,296.67
2022.8.18,302.87
2022.8.17,304
2022.8.16,306.56
2022.8.15,309.32
2022.8.12,300.03
2022.8.11,286.63
2022.8.10,294.36
2022.8.9,283.33
2022.8.8,290.42
2022.8.5,288.17
2022.8.4,308.63
2022.8.3,307.4
2022.8.2,300.59
2022.8.1,297.28
2022.7.29,297.15
2022.7.28,280.9
2022.7.27,274.82
2022.7.26,258.86
2022.7.25,268.43
2022.7.22,272.24
2022.7.21,271.71
2022.7.20,247.5
2022.7.19,245.53
2022.7.18,240.55
2022.7.15,240.07
2022.7.14,238.31
2022.7.13,237.04
2022.7.12,233.07
2022.7.11,234.34
2022.7.8,250.76
2022.7.7,244.54
2022.7.6,231.73
2022.7.5,233.07
2022.7.1,227.26
2022.6.30,224.47
2022.6.29,228.49
2022.6.28,232.66
2022.6.27,244.92
2022.6.24,245.71
2022.6.23,235.07
2022.6.22,236.09
2022.6.21,237.04
2022.6.17,216.76
2022.6.16,213.1
2022.6.15,233
2022.6.14,220.89
2022.6.13,215.74
2022.6.10,232.23
2022.6.9,239.71
2022.6.8,241.87
2022.6.7,238.89
2022.6.6,238.28
2022.6.3,234.52
2022.6.2,258.33
2022.6.1,246.79
2022.5.31,252.75
2022.5.27,253.21
2022.5.26,235.91
2022.5.25,219.6
2022.5.24,209.39
2022.5.23,224.97
2022.5.20,221.3
2022.5.19,236.47
2022.5.18,236.6
2022.5.17,253.87
2022.5.16,241.46
2022.5.13,256.53
2022.5.12,242.67
2022.5.11,244.67
2022.5.10,266.68
2022.5.9,262.37
2022.5.6,288.55
2022.5.5,291.09
2022.5.4,317.54
2022.5.3,303.08
2022.5.2,300.98
2022.4.29,290.25
2022.4.28,292.5
2022.4.27,293.84
2022.4.26,292.14
2022.4.25,332.67
2022.4.22,335.02
2022.4.21,336.26
2022.4.20,325.73
2022.4.19,342.72
2022.4.18,334.76
2022.4.14,328.33
2022.4.13,340.79
2022.4.12,328.98
2022.4.11,325.31
2022.4.8,341.83
2022.4.7,352.42
2022.4.6,348.59
2022.4.5,363.75
2022.4.4,381.82
2022.4.1,361.53
2022.3.31,359.2
2022.3.30,364.66
2022.3.29,366.52
2022.3.28,363.95
2022.3.25,336.88
2022.3.24,337.97
2022.3.23,333.04
2022.3.22,331.33
2022.3.21,307.05
2022.3.18,301.8
2022.3.17,290.53
2022.3.16,280.08
2022.3.15,267.3
2022.3.14,255.46
2022.3.11,265.12
2022.3.10,279.43
2022.3.9,286.32
2022.3.8,274.8
2022.3.7,268.19
2022.3.4,279.43
2022.3.3,279.76
2022.3.2,293.3
2022.3.1,288.12
2022.2.28,290.14
2022.2.25,269.96
2022.2.24,266.92
2022.2.23,254.68
2022.2.22,273.84
2022.2.18,285.66
2022.2.17,292.12
2022.2.16,307.8
2022.2.15,307.48
2022.2.14,291.92
2022.2.11,286.67
2022.2.10,301.52
2022.2.9,310.67
2022.2.8,307.33
2022.2.7,302.45
2022.2.4,307.77
2022.2.3,297.05
2022.2.2,301.89
2022.2.1,310.42
2022.1.31,312.24
2022.1.28,282.12
2022.1.27,276.37
2022.1.26,312.47
2022.1.25,306.13
2022.1.24,310
2022.1.21,314.63
2022.1.20,332.09
2022.1.19,331.88
2022.1.18,343.5
2022.1.14,349.87
2022.1.13,343.85
2022.1.12,368.74
2022.1.11,354.8
2022.1.10,352.71
2022.1.7,342.32
2022.1.6,354.9
2022.1.5,362.71
2022.1.4,383.2
2022.1.3,399.93
2021.12.31,352.26
2021.12.30,356.78
2021.12.29,362.06
2021.12.28,362.82
2021.12.27,364.65
2021.12.23,355.67
2021.12.22,336.29
2021.12.21,312.84
2021.12.20,299.98
2021.12.17,310.86
2021.12.16,308.97
2021.12.15,325.33
2021.12.14,319.5
2021.12.13,322.14
2021.12.10,339.01
2021.12.9,334.6
2021.12.8,356.32
2021.12.7,350.58
2021.12.6,336.34
2021.12.3,338.32
2021.12.2,361.53
2021.12.1,365
2021.11.30,381.59
2021.11.29,379
2021.11.26,360.64
2021.11.24,372
2021.11.23,369.68
2021.11.22,385.62
2021.11.19,379.02
2021.11.18,365.46
2021.11.17,363
2021.11.16,351.58
2021.11.15,337.8
2021.11.12,344.47
2021.11.11,354.5
2021.11.10,355.98
2021.11.9,341.17
2021.11.8,387.65
2021.11.5,407.36
2021.11.4,409.97
2021.11.3,404.62
2021.11.2,390.67
2021.11.1,402.86
2021.10.29,371.33
2021.10.28,359.01
2021.10.27,345.95
2021.10.26,339.48
2021.10.25,341.62
2021.10.22,303.23
2021.10.21,298
2021.10.20,288.6
2021.10.19,288.09
2021.10.18,290.04
2021.10.15,281.01
2021.10.14,272.77
2021.10.13,270.36
2021.10.12,268.57
2021.10.11,263.98
2021.10.8,261.83
2021.10.7,264.54
2021.10.6,260.92
2021.10.5,260.2
2021.10.4,260.51
2021.10.1,258.41
2021.9.30,258.49
2021.9.29,260.44
2021.9.28,259.19
2021.9.27,263.79
2021.9.24,258.13
2021.9.23,251.21
2021.9.22,250.65
2021.9.21,246.46
2021.9.20,243.39
2021.9.17,253.16
2021.9.16,252.33
2021.9.15,251.94
2021.9.14,248.16
2021.9.13,247.67
2021.9.10,245.42
2021.9.9,251.62
2021.9.8,251.29
2021.9.7,250.97
2021.9.3,244.52
2021.9.2,244.13
2021.9.1,244.7
2021.8.31,245.24
2021.8.30,243.64
2021.8.27,237.31
2021.8.26,233.72
2021.8.25,237.07
2021.8.24,236.16
2021.8.23,235.43
2021.8.20,226.75
2021.8.19,224.49
2021.8.18,229.66
2021.8.17,221.9
2021.8.16,228.72
2021.8.13,239.06
2021.8.12,240.75
2021.8.11,235.94
2021.8.10,236.66
2021.8.9,237.92
2021.8.6,233.03
2021.8.5,238.21
2021.8.4,236.97
2021.8.3,236.58
2021.8.2,236.56
2021.7.30,229.07
2021.7.29,225.78
2021.7.28,215.66
2021.7.27,214.93
2021.7.26,219.21
2021.7.23,214.46
2021.7.22,216.42
2021.7.21,218.43
2021.7.20,220.17
2021.7.19,215.41
2021.7.16,214.74
2021.7.15,216.87
2021.7.14,217.79
2021.7.13,222.85
2021.7.12,228.57
2021.7.9,218.98
2021.7.8,217.6
2021.7.7,214.88
2021.7.6,219.86
2021.7.2,226.3
2021.7.1,225.97
2021.6.30,226.57
2021.6.29,226.92
2021.6.28,229.57
2021.6.25,223.96
2021.6.24,226.61
2021.6.23,218.86
2021.6.22,207.9
2021.6.21,206.94
2021.6.18,207.77
2021.6.17,205.53
2021.6.16,201.62
2021.6.15,199.79
2021.6.14,205.9
2021.6.11,203.3
2021.6.10,203.37
2021.6.9,199.59
2021.6.8,201.2
2021.6.7,201.71
2021.6.4,199.68
2021.6.3,190.95
2021.6.2,201.71
2021.6.1,207.97
2021.5.28,208.41
2021.5.27,210.28
2021.5.26,206.38
2021.5.25,201.56
2021.5.24,202.15
2021.5.21,193.63
2021.5.20,195.59
2021.5.19,187.82
2021.5.18,192.62
2021.5.17,192.28
2021.5.14,196.58
2021.5.13,190.56
2021.5.12,196.63
2021.5.11,205.73
2021.5.10,209.68
2021.5.7,224.12
2021.5.6,221.18
2021.5.5,223.65
2021.5.4,224.53
2021.5.3,228.3
2021.4.30,236.48
2021.4.29,225.67
2021.4.28,231.47
2021.4.27,234.91
2021.4.26,246.07
2021.4.23,243.13
2021.4.22,239.9
2021.4.21,248.04
2021.4.20,239.66
2021.4.19,238.21
2021.4.16,246.59
2021.4.15,246.28
2021.4.14,244.08
2021.4.13,254.11
2021.4.12,233.99
2021.4.9,225.67
2021.4.8,227.93
2021.4.7,223.66
2021.4.6,230.54
2021.4.5,230.35
2021.4.1,220.58
2021.3.31,222.64
2021.3.30,211.87
2021.3.29,203.76
2021.3.26,206.24
2021.3.25,213.46
2021.3.24,210.09
2021.3.23,220.72
2021.3.22,223.33
2021.3.19,218.29
2021.3.18,217.72
2021.3.17,233.94
2021.3.16,225.63
2021.3.15,235.98
2021.3.12,231.24
2021.3.11,233.2
2021.3.10,222.69
2021.3.9,224.53
2021.3.8,187.67
2021.3.5,199.32
2021.3.4,207.15
2021.3.3,217.73
2021.3.2,228.81
2021.3.1,239.48
2021.2.26,225.17
2021.2.25,227.41
2021.2.24,247.34
2021.2.23,232.95
2021.2.22,238.17
2021.2.19,260.43
2021.2.18,262.46
2021.2.17,266.05
2021.2.16,265.41
2021.2.12,272.04
2021.2.11,270.55
2021.2.10,268.27
2021.2.9,283.15
2021.2.8,287.81
2021.2.5,284.08
2021.2.4,283.33
2021.2.3,284.9
2021.2.2,290.93
2021.2.1,279.94
2021.1.29,264.51
2021.1.28,278.48
2021.1.27,288.05
2021.1.26,294.36
2021.1.25,293.6
2021.1.22,282.21
2021.1.21,281.66
2021.1.20,283.48
2021.1.19,281.52
2021.1.15,275.39
2021.1.14,281.67
2021.1.13,284.8
2021.1.12,283.15
2021.1.11,270.4
2021.1.8,293.34
2021.1.7,272.01
2021.1.6,251.99
2021.1.5,245.04
2021.1.4,243.26
